account_id,loan_id,date,amount,duration,payments,status,order_id,bank_to,account_to,order_amount,order_k_symbol,trans_id,transaction_date,operation,transaction_amount,balance,transaction_k_symbol,bank,account,account_date,account_district_id,frequency,disp_id,disposition_client_id,disposition_type,card_id,card_disposition_id,card_type,card_issued,client_birth_number,district_id,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,Transaction_Type,Type_of_loan,Payment_type,Balance_type
5622,6150,941102,83016,12,6918,A,37741,ST,24175644,6327,SIPO,1657153,930208,VKLAD,700,700,,,,930208,70,"POPLATEK MESICNE",6789,6789,OWNER,857,6789,junior,"981025 00:00:00",790326,57,Hodonin,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,CREDIT,Low_loan_taker,"High Payment","Low Balance"
5622,6150,941102,83016,12,6918,A,37742,EF,71167778,573," ",1657153,930208,VKLAD,700,700,,,,930208,70,"POPLATEK MESICNE",6789,6789,OWNER,857,6789,junior,"981025 00:00:00",790326,57,Hodonin,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,CREDIT,Low_loan_taker,"High Payment","Low Balance"
7753,6577,940311,51696,24,2154,A,40883,GH,62899923,2153.8,UVER,2349709,930212,VKLAD,19588,20188,,,,930208,74,"POPLATEK MESICNE",9285,9593,OWNER,1005,9285,classic,"931107 00:00:00",685128,74,"Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,4.75,5.44,100,18782,18347,CREDIT,Low_loan_taker,"Low Payment","Low Balance"
7753,6577,940311,51696,24,2154,A,40883,GH,62899923,2153.8,UVER,2349705,930212,VKLAD,27078,47266,,,,930208,74,"POPLATEK MESICNE",9285,9593,OWNER,1005,9285,classic,"931107 00:00:00",685128,74,"Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,4.75,5.44,100,18782,18347,CREDIT,Low_loan_taker,"Low Payment","Low Balance"
5891,6202,940418,65184,12,5432,A,38118,EF,95617645,5432.3,UVER,1736609,930212,"PREVOD Z UCTU",32594,33494,,CD,51054984,930125,54,"POPLATEK MESICNE",7127,7127,OWNER,874,7127,gold,"971007 00:00:00",570929,3,Beroun,"central Bohemia",75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,CREDIT,Low_loan_taker,"High Payment","Low Balance"
11013,7240,930906,274740,60,4579,A,45776,YZ,91721045,4579,UVER,3314624,930214,VKLAD,600,600,,,,930214,1,"POPLATEK TYDNE",13231,13539,OWNER,1223,13231,junior,"950502 00:00:00",780907,63,Vyskov,"south Moravia",86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,CREDIT,High_loan_taker,"Mid Payament","Low Balance"
11013,7240,930906,274740,60,4579,A,45777,CD,27690512,756,SIPO,3314624,930214,VKLAD,600,600,,,,930214,1,"POPLATEK TYDNE",13231,13539,OWNER,1223,13231,junior,"950502 00:00:00",780907,63,Vyskov,"south Moravia",86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,CREDIT,High_loan_taker,"Mid Payament","Low Balance"
11013,7240,930906,274740,60,4579,A,45778,IJ,43103534,9499," ",3314624,930214,VKLAD,600,600,,,,930214,1,"POPLATEK TYDNE",13231,13539,OWNER,1223,13231,junior,"950502 00:00:00",780907,63,Vyskov,"south Moravia",86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,CREDIT,High_loan_taker,"Mid Payament","Low Balance"
5622,6150,941102,83016,12,6918,A,37740,UV,45906978,6918.3,UVER,1657169,930218,VKLAD,24023,24723,,,,930208,70,"POPLATEK MESICNE",6789,6789,OWNER,857,6789,junior,"981025 00:00:00",790326,57,Hodonin,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,CREDIT,Low_loan_taker,"High Payment","Low Balance"
5622,6150,941102,83016,12,6918,A,37741,ST,24175644,6327,SIPO,1657169,930218,VKLAD,24023,24723,,,,930208,70,"POPLATEK MESICNE",6789,6789,OWNER,857,6789,junior,"981025 00:00:00",790326,57,Hodonin,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,CREDIT,Low_loan_taker,"High Payment","Low Balance"
5622,6150,941102,83016,12,6918,A,37742,EF,71167778,573," ",1657169,930218,VKLAD,24023,24723,,,,930208,70,"POPLATEK MESICNE",6789,6789,OWNER,857,6789,junior,"981025 00:00:00",790326,57,Hodonin,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,CREDIT,Low_loan_taker,"High Payment","Low Balance"
5622,6150,941102,83016,12,6918,A,37740,UV,45906978,6918.3,UVER,1657174,930219,VKLAD,33410,58133,,,,930208,70,"POPLATEK MESICNE",6789,6789,OWNER,857,6789,junior,"981025 00:00:00",790326,57,Hodonin,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,CREDIT,Low_loan_taker,"High Payment","Mid Balance"
5622,6150,941102,83016,12,6918,A,37741,ST,24175644,6327,SIPO,1657174,930219,VKLAD,33410,58133,,,,930208,70,"POPLATEK MESICNE",6789,6789,OWNER,857,6789,junior,"981025 00:00:00",790326,57,Hodonin,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,CREDIT,Low_loan_taker,"High Payment","Mid Balance"
5622,6150,941102,83016,12,6918,A,37742,EF,71167778,573," ",1657174,930219,VKLAD,33410,58133,,,,930208,70,"POPLATEK MESICNE",6789,6789,OWNER,857,6789,junior,"981025 00:00:00",790326,57,Hodonin,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,CREDIT,Low_loan_taker,"High Payment","Mid Balance"
9265,6888,940711,39576,12,3298,A,43122,IJ,81887966,3298.3,UVER,2797779,930223,VKLAD,28361,28661,,,,930204,1,"POPLATEK MESICNE",11101,11409,OWNER,1100,11101,junior,"960410 00:00:00",805502,32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,CREDIT,Low_loan_taker,"Mid Payament","Low Balance"
9265,6888,940711,39576,12,3298,A,43123,EF,98678969,9493,SIPO,2797779,930223,VKLAD,28361,28661,,,,930204,1,"POPLATEK MESICNE",11101,11409,OWNER,1100,11101,junior,"960410 00:00:00",805502,32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,CREDIT,Low_loan_taker,"Mid Payament","Low Balance"
9265,6888,940711,39576,12,3298,A,43124,EF,84062218,4017," ",2797779,930223,VKLAD,28361,28661,,,,930204,1,"POPLATEK MESICNE",11101,11409,OWNER,1100,11101,junior,"960410 00:00:00",805502,32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,CREDIT,Low_loan_taker,"Mid Payament","Low Balance"
5891,6202,940418,65184,12,5432,A,38118,EF,95617645,5432.3,UVER,1736950,930224,VYBER,4500,28994,,,,930125,54,"POPLATEK MESICNE",7127,7127,OWNER,874,7127,gold,"971007 00:00:00",570929,3,Beroun,"central Bohemia",75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,WITHDRAWL,Low_loan_taker,"High Payment","Low Balance"
5891,6202,940418,65184,12,5432,A,38118,EF,95617645,5432.3,UVER,3673340,930228,,21.6,29015.6,UROK,,,930125,54,"POPLATEK MESICNE",7127,7127,OWNER,874,7127,gold,"971007 00:00:00",570929,3,Beroun,"central Bohemia",75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,CREDIT,Low_loan_taker,"High Payment","Low Balance"
9265,6888,940711,39576,12,3298,A,43122,IJ,81887966,3298.3,UVER,3509732,930228,,21.3,28707.9,UROK,,,930204,1,"POPLATEK MESICNE",11101,11409,OWNER,1100,11101,junior,"960410 00:00:00",805502,32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,CREDIT,Low_loan_taker,"Mid Payament","Low Balance"
9265,6888,940711,39576,12,3298,A,43123,EF,98678969,9493,SIPO,3509732,930228,,21.3,28707.9,UROK,,,930204,1,"POPLATEK MESICNE",11101,11409,OWNER,1100,11101,junior,"960410 00:00:00",805502,32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,CREDIT,Low_loan_taker,"Mid Payament","Low Balance"
9265,6888,940711,39576,12,3298,A,43124,EF,84062218,4017," ",3509732,930228,,21.3,28707.9,UROK,,,930204,1,"POPLATEK MESICNE",11101,11409,OWNER,1100,11101,junior,"960410 00:00:00",805502,32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,CREDIT,Low_loan_taker,"Mid Payament","Low Balance"
5622,6150,941102,83016,12,6918,A,37740,UV,45906978,6918.3,UVER,3671894,930228,,90.2,58223.2,UROK,,,930208,70,"POPLATEK MESICNE",6789,6789,OWNER,857,6789,junior,"981025 00:00:00",790326,57,Hodonin,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,CREDIT,Low_loan_taker,"High Payment","Mid Balance"
5622,6150,941102,83016,12,6918,A,37741,ST,24175644,6327,SIPO,3671894,930228,,90.2,58223.2,UROK,,,930208,70,"POPLATEK MESICNE",6789,6789,OWNER,857,6789,junior,"981025 00:00:00",790326,57,Hodonin,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,CREDIT,Low_loan_taker,"High Payment","Mid Balance"
5622,6150,941102,83016,12,6918,A,37742,EF,71167778,573," ",3671894,930228,,90.2,58223.2,UROK,,,930208,70,"POPLATEK MESICNE",6789,6789,OWNER,857,6789,junior,"981025 00:00:00",790326,57,Hodonin,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,CREDIT,Low_loan_taker,"High Payment","Mid Balance"
7753,6577,940311,51696,24,2154,A,40883,GH,62899923,2153.8,UVER,3492040,930228,,119.6,47385.6,UROK,,,930208,74,"POPLATEK MESICNE",9285,9593,OWNER,1005,9285,classic,"931107 00:00:00",685128,74,"Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,4.75,5.44,100,18782,18347,CREDIT,Low_loan_taker,"Low Payment","Low Balance"
9265,6888,940711,39576,12,3298,A,43122,IJ,81887966,3298.3,UVER,3479717,930228,,25.6,28686.6,UROK,,,930204,1,"POPLATEK MESICNE",11101,11409,OWNER,1100,11101,junior,"960410 00:00:00",805502,32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,CREDIT,Low_loan_taker,"Mid Payament","Low Balance"
9265,6888,940711,39576,12,3298,A,43123,EF,98678969,9493,SIPO,3479717,930228,,25.6,28686.6,UROK,,,930204,1,"POPLATEK MESICNE",11101,11409,OWNER,1100,11101,junior,"960410 00:00:00",805502,32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,CREDIT,Low_loan_taker,"Mid Payament","Low Balance"
9265,6888,940711,39576,12,3298,A,43124,EF,84062218,4017," ",3479717,930228,,25.6,28686.6,UROK,,,930204,1,"POPLATEK MESICNE",11101,11409,OWNER,1100,11101,junior,"960410 00:00:00",805502,32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,CREDIT,Low_loan_taker,"Mid Payament","Low Balance"
1843,5325,930803,105804,36,2939,A,32104,QR,70984434,2938.7,UVER,542076,930301,VKLAD,3900,22532,,,,930130,12,"POPLATEK MESICNE",2235,2235,OWNER,352,2235,classic,"980911 00:00:00",405420,14,"Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,CREDIT,Mid_loan_taker,"Low Payment","Low Balance"
1843,5325,930803,105804,36,2939,A,32105,QR,62958741,6994,SIPO,542076,930301,VKLAD,3900,22532,,,,930130,12,"POPLATEK MESICNE",2235,2235,OWNER,352,2235,classic,"980911 00:00:00",405420,14,"Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,CREDIT,Mid_loan_taker,"Low Payment","Low Balance"
9265,6888,940711,39576,12,3298,A,43122,IJ,81887966,3298.3,UVER,2797781,930304,VKLAD,37305,66012.9,,,,930204,1,"POPLATEK MESICNE",11101,11409,OWNER,1100,11101,junior,"960410 00:00:00",805502,32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,CREDIT,Low_loan_taker,"Mid Payament","Mid Balance"
9265,6888,940711,39576,12,3298,A,43123,EF,98678969,9493,SIPO,2797781,930304,VKLAD,37305,66012.9,,,,930204,1,"POPLATEK MESICNE",11101,11409,OWNER,1100,11101,junior,"960410 00:00:00",805502,32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,CREDIT,Low_loan_taker,"Mid Payament","Mid Balance"
9265,6888,940711,39576,12,3298,A,43124,EF,84062218,4017," ",2797781,930304,VKLAD,37305,66012.9,,,,930204,1,"POPLATEK MESICNE",11101,11409,OWNER,1100,11101,junior,"960410 00:00:00",805502,32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,CREDIT,Low_loan_taker,"Mid Payament","Mid Balance"
9265,6888,940711,39576,12,3298,A,43122,IJ,81887966,3298.3,UVER,2798252,930306,VYBER,19000,47012.9,,,,930204,1,"POPLATEK MESICNE",11101,11409,OWNER,1100,11101,junior,"960410 00:00:00",805502,32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,WITHDRAWL,Low_loan_taker,"Mid Payament","Low Balance"
9265,6888,940711,39576,12,3298,A,43123,EF,98678969,9493,SIPO,2798252,930306,VYBER,19000,47012.9,,,,930204,1,"POPLATEK MESICNE",11101,11409,OWNER,1100,11101,junior,"960410 00:00:00",805502,32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,WITHDRAWL,Low_loan_taker,"Mid Payament","Low Balance"
9265,6888,940711,39576,12,3298,A,43124,EF,84062218,4017," ",2798252,930306,VYBER,19000,47012.9,,,,930204,1,"POPLATEK MESICNE",11101,11409,OWNER,1100,11101,junior,"960410 00:00:00",805502,32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,WITHDRAWL,Low_loan_taker,"Mid Payament","Low Balance"
1843,5325,930803,105804,36,2939,A,32104,QR,70984434,2938.7,UVER,541684,930307,"PREVOD Z UCTU",17632,40164,,QR,76294219,930130,12,"POPLATEK MESICNE",2235,2235,OWNER,352,2235,classic,"980911 00:00:00",405420,14,"Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,CREDIT,Mid_loan_taker,"Low Payment","Low Balance"
1843,5325,930803,105804,36,2939,A,32105,QR,62958741,6994,SIPO,541684,930307,"PREVOD Z UCTU",17632,40164,,QR,76294219,930130,12,"POPLATEK MESICNE",2235,2235,OWNER,352,2235,classic,"980911 00:00:00",405420,14,"Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,CREDIT,Mid_loan_taker,"Low Payment","Low Balance"
7753,6577,940311,51696,24,2154,A,40883,GH,62899923,2153.8,UVER,2350078,930310,VYBER,12000,35385.6,,,,930208,74,"POPLATEK MESICNE",9285,9593,OWNER,1005,9285,classic,"931107 00:00:00",685128,74,"Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,4.75,5.44,100,18782,18347,WITHDRAWL,Low_loan_taker,"Low Payment","Low Balance"
5622,6150,941102,83016,12,6918,A,37740,UV,45906978,6918.3,UVER,1657645,930310,VYBER,14900,43323.2,,,,930208,70,"POPLATEK MESICNE",6789,6789,OWNER,857,6789,junior,"981025 00:00:00",790326,57,Hodonin,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,WITHDRAWL,Low_loan_taker,"High Payment","Low Balance"
5622,6150,941102,83016,12,6918,A,37741,ST,24175644,6327,SIPO,1657645,930310,VYBER,14900,43323.2,,,,930208,70,"POPLATEK MESICNE",6789,6789,OWNER,857,6789,junior,"981025 00:00:00",790326,57,Hodonin,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,WITHDRAWL,Low_loan_taker,"High Payment","Low Balance"
5622,6150,941102,83016,12,6918,A,37742,EF,71167778,573," ",1657645,930310,VYBER,14900,43323.2,,,,930208,70,"POPLATEK MESICNE",6789,6789,OWNER,857,6789,junior,"981025 00:00:00",790326,57,Hodonin,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,WITHDRAWL,Low_loan_taker,"High Payment","Low Balance"
5891,6202,940418,65184,12,5432,A,38118,EF,95617645,5432.3,UVER,1736610,930312,"PREVOD Z UCTU",32594,61609.6,,CD,51054984,930125,54,"POPLATEK MESICNE",7127,7127,OWNER,874,7127,gold,"971007 00:00:00",570929,3,Beroun,"central Bohemia",75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,CREDIT,Low_loan_taker,"High Payment","Mid Balance"
11013,7240,930906,274740,60,4579,A,45776,YZ,91721045,4579,UVER,3314627,930313,"PREVOD Z UCTU",42244,42844,,YZ,45816707,930214,1,"POPLATEK TYDNE",13231,13539,OWNER,1223,13231,junior,"950502 00:00:00",780907,63,Vyskov,"south Moravia",86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,CREDIT,High_loan_taker,"Mid Payament","Low Balance"
11013,7240,930906,274740,60,4579,A,45777,CD,27690512,756,SIPO,3314627,930313,"PREVOD Z UCTU",42244,42844,,YZ,45816707,930214,1,"POPLATEK TYDNE",13231,13539,OWNER,1223,13231,junior,"950502 00:00:00",780907,63,Vyskov,"south Moravia",86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,CREDIT,High_loan_taker,"Mid Payament","Low Balance"
11013,7240,930906,274740,60,4579,A,45778,IJ,43103534,9499," ",3314627,930313,"PREVOD Z UCTU",42244,42844,,YZ,45816707,930214,1,"POPLATEK TYDNE",13231,13539,OWNER,1223,13231,junior,"950502 00:00:00",780907,63,Vyskov,"south Moravia",86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,CREDIT,High_loan_taker,"Mid Payament","Low Balance"
7753,6577,940311,51696,24,2154,A,40883,GH,62899923,2153.8,UVER,2349715,930316,VKLAD,36130,71515.6,,,,930208,74,"POPLATEK MESICNE",9285,9593,OWNER,1005,9285,classic,"931107 00:00:00",685128,74,"Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,4.75,5.44,100,18782,18347,CREDIT,Low_loan_taker,"Low Payment","Mid Balance"
11013,7240,930906,274740,60,4579,A,45776,YZ,91721045,4579,UVER,3315106,930316,VYBER,7000,35844,,,,930214,1,"POPLATEK TYDNE",13231,13539,OWNER,1223,13231,junior,"950502 00:00:00",780907,63,Vyskov,"south Moravia",86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,WITHDRAWL,High_loan_taker,"Mid Payament","Low Balance"
11013,7240,930906,274740,60,4579,A,45777,CD,27690512,756,SIPO,3315106,930316,VYBER,7000,35844,,,,930214,1,"POPLATEK TYDNE",13231,13539,OWNER,1223,13231,junior,"950502 00:00:00",780907,63,Vyskov,"south Moravia",86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,WITHDRAWL,High_loan_taker,"Mid Payament","Low Balance"
11013,7240,930906,274740,60,4579,A,45778,IJ,43103534,9499," ",3315106,930316,VYBER,7000,35844,,,,930214,1,"POPLATEK TYDNE",13231,13539,OWNER,1223,13231,junior,"950502 00:00:00",780907,63,Vyskov,"south Moravia",86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,WITHDRAWL,High_loan_taker,"Mid Payament","Low Balance"
7753,6577,940311,51696,24,2154,A,40883,GH,62899923,2153.8,UVER,2349722,930318,VKLAD,7824,79339.6,,,,930208,74,"POPLATEK MESICNE",9285,9593,OWNER,1005,9285,classic,"931107 00:00:00",685128,74,"Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,4.75,5.44,100,18782,18347,CREDIT,Low_loan_taker,"Low Payment","Mid Balance"
5442,6112,940617,174744,24,7281,B,37456,CD,26435643,7281.3,UVER,1602507,930322,VKLAD,300,300,,,,930322,34,"POPLATEK MESICNE",6567,6567,OWNER,844,6567,junior,"980304 00:00:00",786121,5,Kolin,"central Bohemia",95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,CREDIT,Mid_loan_taker,"High Payment","Low Balance"
5442,6112,940617,174744,24,7281,B,37457,EF,14627766,8110,SIPO,1602507,930322,VKLAD,300,300,,,,930322,34,"POPLATEK MESICNE",6567,6567,OWNER,844,6567,junior,"980304 00:00:00",786121,5,Kolin,"central Bohemia",95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,CREDIT,Mid_loan_taker,"High Payment","Low Balance"
5442,6112,940617,174744,24,7281,B,37458,MN,10828179,2070," ",1602507,930322,VKLAD,300,300,,,,930322,34,"POPLATEK MESICNE",6567,6567,OWNER,844,6567,junior,"980304 00:00:00",786121,5,Kolin,"central Bohemia",95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,CREDIT,Mid_loan_taker,"High Payment","Low Balance"
5442,6112,940617,174744,24,7281,B,37459,IJ,7772154,1017,POJISTNE,1602507,930322,VKLAD,300,300,,,,930322,34,"POPLATEK MESICNE",6567,6567,OWNER,844,6567,junior,"980304 00:00:00",786121,5,Kolin,"central Bohemia",95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,CREDIT,Mid_loan_taker,"High Payment","Low Balance"
5622,6150,941102,83016,12,6918,A,37740,UV,45906978,6918.3,UVER,1657162,930324,VKLAD,43050,86373.2,,,,930208,70,"POPLATEK MESICNE",6789,6789,OWNER,857,6789,junior,"981025 00:00:00",790326,57,Hodonin,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,CREDIT,Low_loan_taker,"High Payment","Mid Balance"
5622,6150,941102,83016,12,6918,A,37741,ST,24175644,6327,SIPO,1657162,930324,VKLAD,43050,86373.2,,,,930208,70,"POPLATEK MESICNE",6789,6789,OWNER,857,6789,junior,"981025 00:00:00",790326,57,Hodonin,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,CREDIT,Low_loan_taker,"High Payment","Mid Balance"
5622,6150,941102,83016,12,6918,A,37742,EF,71167778,573," ",1657162,930324,VKLAD,43050,86373.2,,,,930208,70,"POPLATEK MESICNE",6789,6789,OWNER,857,6789,junior,"981025 00:00:00",790326,57,Hodonin,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,CREDIT,Low_loan_taker,"High Payment","Mid Balance"
8260,6686,940825,224604,36,6239,A,41652,QR,25747537,6239.2,UVER,2501876,930324,VKLAD,200,200,,,,930324,31,"POPLATEK MESICNE",9890,10198,OWNER,1040,9890,junior,"950528 00:00:00",760524,31,Tachov,"west Bohemia",51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,CREDIT,High_loan_taker,"High Payment","Low Balance"
